Year,Population requiring PC for LF,Type of MDA,Number of IUs covered,Reported number of people treated,Programme (drug) coverage (%),National coverage (%),CountryCode,GDP_per_capita,HealthExp_per_capita,Pct_with_improved_sanitation,GDP_lag1,Sanitation_lag1,Urban_Pop_Pct,ODA_per_capita
2020,8238487.770482671,IVM + ALB,0.0,0.0,0.0,0.0,TZA,1117.41528320313,31.39298439,30.246799713062,1063.32250976563,29.099388976813,35.227,2277000000.0
2020,1655032.0059370326,IVM + ALB,4.0,1162194.0,70.22184440125062,70.22184440125062,SLE,845.313836261458,46.01692963,21.0167130216126,843.71251730417,20.0997387688789,42.923,841010009.765625
2020,6831470.119528587,IVM + ALB,32.0,2003380.0,91.3508330532906,29.325752216541133,ETH,905.313175805855,28.69671059,8.95353751323462,828.70897229725,8.65203916056794,21.695,5305140136.71875
2020,4442825.0,IVM + ALB,0.0,0.0,0.0,0.0,CAF,462.879071294011,40.11012268,14.1186346735747,449.228467602439,14.4819824288711,42.198,832700012.207031
2020,5352356.0,IVM + ALB,35.0,4164676.0,77.81014566295666,77.81014566295666,TCD,622.095543396442,35.72977829,12.5503207178957,678.142035723965,12.2940188961564,23.52,1037589965.82031
2020,21390404.0,IVM + DEC + ALB,17.0,1693114.0,76.16419228431758,13.025705358346668,MDG,450.771615201509,17.21605492,13.6947389718241,499.818837622534,13.1693371507898,38.534,1298689941.40625
2020,58244.0,IVM + ALB,0.0,0.0,0.0,0.0,CMR,1555.60370660749,58.0969696,42.6527994756676,1555.22660476477,42.4008580058119,57.56,1400569946.28906
2020,21390404.0,DEC + ALB,7.0,1093137.0,72.32755711705275,13.025705358346668,MDG,450.771615201509,17.21605492,13.6947389718241,450.771615201509,13.6947389718241,38.534,1298689941.40625
2020,2948994.0,IVM + ALB,0.0,0.0,0.0,0.0,LBR,616.787867006715,101.29130554,21.3405767547591,658.164180770507,20.7619736101479,52.089,652409973.144531
2020,2040460.0,IVM + ALB,0.0,0.0,0.0,0.0,UGA,845.766463890124,36.87842941,20.6108258720445,822.057058189153,20.4080904532095,24.954,3086120117.1875
2020,1062197.8,IVM + ALB,6.0,98422.0,82.19367985034741,33.147498516754595,COG,1993.586671931,80.80835724,20.459745939771,2488.42466724916,20.3642631107744,67.829,215729995.727539
2020,12810245.0,DEC + ALB,47.0,6518924.0,89.17806929896656,50.888363181188176,ZMB,951.644316655957,60.4353447,36.1832543043812,1258.98619844462,35.4594671468657,44.629,1016099975.58594
2020,1062197.8,1 * ALB,6.0,253670.0,85.04824552580583,33.147498516754595,COG,1993.586671931,80.80835724,20.459745939771,1993.586671931,20.459745939771,67.829,215729995.727539
2020,14989401.0,IVM + ALB,26.0,10797082.0,79.82341397984595,20.98448792170369,MWI,602.507478176106,42.5414238,44.9611498947132,580.889816066776,42.8038378125311,17.427,1454329956.05469
2020,8560784.0,IVM + ALB,0.0,0.0,0.0,0.0,SSD,1080.14718624765,47.67607498,15.8448173708488,1080.14718624765,15.747277681583,20.199,1822660034.17969
2020,2186504.563648,IVM + ALB,9.0,1697870.0,77.65225045619141,77.65225045619141,BFA,825.237038782475,54.17696762,23.3206825506615,764.853077774946,22.8240692453658,30.607,1731250000.0
2020,3819439.0,IVM + ALB,33.0,939509.0,45.0,24.6,AGO,1449.92286669308,55.05102158,51.6603294206642,2189.85571407618,51.3936226824603,66.825,111360000.610352
2020,210238.0,IVM + DEC + ALB,7.0,152119.0,72.35561601613409,72.35561601613409,STP,2167.22001796925,158.96191406,46.4435823257995,1935.2931816596,45.1201003296246,74.354,92120002.746582
2020,4225848.0,IVM + DEC + ALB,20.0,4023825.0,105.75568270969198,95.2193500570773,KEN,1927.66459027849,86.67868805,35.7038199428417,1960.40808854893,35.2957947881613,27.995,3989209960.9375
2020,136378141.1751459,IVM + ALB,436.0,75424759.0,86.21209477542749,55.3056073649915,NGA,2019.65706326224,69.76184845,44.3511464071045,2265.15520863056,43.27675278374,51.958,3375860107.42188
2020,47298137.0,1 * ALB,27.0,4081777.0,91.710384263238,8.629889587405948,COD,507.521230077872,21.25385666,16.1158647638764,557.044161335917,16.4166624601584,45.638,3382530029.29688
