Year,Population requiring PC for LF,Mapping status,Type of MDA,Current status of MDA,Number of IUs covered,Geographical coverage (%),Total population of IUs,Reported number of people treated,Programme (drug) coverage (%),National coverage (%),CountryCode
2012,8780000.0,In progress,DEC + ALB,Not started,,,,,,,ZMB
2012,1200000.0,Completed,DEC + ALB,Not started,,,,,,,GMB
2012,30000000.0,In progress,IVM + ALB,Ongoing,21,No data,1255760,987414,78.63078932280054,3.29138,ETH
2012,3421741.0,Completed,DEC + ALB,No MDA,0,0,0,0,0,0,KEN
2012,410000.0,Completed,DEC + ALB,Not started,,,,,,,STP
2012,5314600.0,Completed,IVM + ALB,No data,No data,No data,No data,No data,No data,No data,SEN
2012,18602379.0,Completed,DEC + ALB,Ongoing,7,7.1,1356601,907295,66.88001851686678,4.877306284319872,MDG
2012,6000000.0,In progress,DEC + ALB,Not started,,,,,,,ZWE
2012,45173251.0,Completed,IVM + ALB,Ongoing,80,61.1,21799341,14338713,65.77590120728878,31.741600798224596,TZA
2012,17114949.0,Completed,IVM + ALB,No MDA,0,0,0,0,0,0,MOZ
2012,2600000.0,Completed,Not started,Not started,,,,,,,COG
2012,16166882.0,Completed,IVM + ALB,Ongoing,42,70,12855229,10373698,80.69632987479258,64.16634945439695,MLI
2012,14464244.0,Completed,IVM + ALB,Ongoing,36,66.7,9034672,6052350,66.99025708957669,41.84352808207605,UGA
2012,,,,Surveillance,,,,,,,TGO
2012,7270000.0,In progress,IVM + ALB,Not started,,,,,,,TCD
2012,14000000.0,In progress,No MDA,No MDA,0,0,0,0,0,0,CIV
2012,3600000.0,In progress,IVM + ALB,Ongoing,13,100,2735168,2217320,81.06704962912698,61.592222222222226,LBR
2012,12467592.0,Completed,IVM + ALB,Ongoing,30,100,12467592,8926672,71.59900644807755,71.59900644807755,NER
2012,1582496.0,Completed,IVM + ALB,No data,No data,No data,No data,No data,No data,No data,GNB
2012,6667687.0,Completed,IVM + ALB,Ongoing,14,100,6667687,5296185,79.43061814389307,79.43061814389307,SLE
2012,11925399.0,Completed,IVM + ALB,Ongoing,70,94.6,10390136,7649497,73.62268405341374,64.1445791457376,GHA
2012,514110.0,Completed,DEC + ALB,No MDA,0,0,0,0,0,0,COM
2012,3300000.0,In progress,IVM + ALB,Ongoing,4,23.52941176470588,556846,432450,77.66060993524242,13.104545454545455,CAF
2012,17091469.0,In progress,IVM + ALB,Ongoing,115,No data,10379029,8385808,80.79568907650224,49.06429049486618,CMR
2012,49140000.0,In progress,Not started,Not started,,,,,,,COD
2012,3577000.0,Not started,DEC + ALB,Not started,,,,,,,ERI
2012,3747913.0,Completed,IVM + ALB,Ongoing,13,48.1,813049,656329,80.72440898396037,17.511852596364964,BEN
2012,420000.0,Completed,IVM + ALB,Not started,,,,,,,GNQ
2013,8114652.0,Completed,IVM + ALB,Ongoing,13,26,1486044,732268,49.276333675180545,9.024022225475596,SEN
2013,3421741.0,Completed,DEC + ALB,No MDA,0,0,0,0,0,0,KEN
2013,10237354.0,Completed,IVM + ALB,Ongoing,91,100,10237354,7859416,76.77194712618125,76.77194712618125,GHA
2013,17091469.0,In progress,IVM + ALB,Ongoing,131,No data,11692158,9338427,79.86914819317357,54.637942472937816,CMR
2013,1668680.0,Completed,IVM + ALB,Ongoing,33,28.4,380998,264358,69.38566606648854,15.842342450320013,GNB
2013,2600000.0,In progress,IVM + ALB,Ongoing,5,No data,111756,103724,92.81291384802606,3.9893846153846155,COG
2013,7270000.0,In progress,IVM + ALB,Not started,,,,,,,TCD
2013,1200000.0,Completed,DEC + ALB,Not started,,,,,,,GMB
2013,6820160.0,Completed,IVM + ALB,Ongoing,14,100,6820160,5494161,80.55765553887298,80.55765553887298,SLE
2013,6067135.0,Completed,IVM + ALB,Not started,,,,,,,GIN
2013,1659558.0,In progress,IVM + ALB,Not started,,,,,,,SSD
2013,13113401.0,Completed,IVM + ALB,Ongoing,47,100,13113401,9368472,71.44196993594568,71.44196993594568,BFA
2013,17443064.0,Completed,IVM + ALB,Ongoing,5,8.200000000000001,2143114,1500714,70.02492634549539,8.60349993556178,CIV
2013,1290600.0,Completed,IVM + ALB,Not started,,,,,,,GAB
2013,12090000.0,In progress,IVM + ALB,Not started,,,,,,,AGO
2013,114286356.0,In progress,IVM + ALB,Ongoing,181,No data,30612903,22538959,73.6256832617279,19.72147838889885,NGA
2013,49140000.0,In progress,Not started,Not started,,,,,,,COD
2013,12604890.0,Completed,IVM + ALB,Ongoing,30,100,11847215,8189778,69.12829724116595,64.97302237464983,NER
2013,39900484.0,Completed,IVM + ALB,Ongoing,102,67.5,22188391,17114802,77.13403824549513,42.89372028670129,TZA
2013,17726780.0,Completed,IVM + ALB,Ongoing,94,90.4,13493469,11467739,84.98732979636297,64.69160783853583,MOZ
2013,,,,Surveillance,,,,,,,TGO
2013,14875650.0,Completed,IVM + ALB,Ongoing,45,83.3,11277331,7532845,66.79634569562603,50.63876200367715,UGA
2013,420000.0,Completed,IVM + ALB,Not started,,,,,,,GNQ
2013,17309000.0,Completed,IVM + ALB,Ongoing,45,100,14877567,12207072,82.05019006131849,70.52442082153793,MLI
2013,514110.0,Completed,DEC + ALB,No MDA,0,0,0,0,0,0,COM
2013,3300000.0,In progress,IVM + ALB,No MDA,0,0,0,0,0,0,CAF
2013,3747913.0,Completed,IVM + ALB,Ongoing,25,92.60000000000001,1095832,1155182,105.41597617152993,30.822006807521944,BEN
2013,3577000.0,Not started,DEC + ALB,Not started,,,,,,,ERI
2013,8780000.0,In progress,DEC + ALB,Ongoing,7,No data,832635,692310,83.14687708299556,7.885079726651481,ZMB
2013,14989401.0,Completed,IVM + ALB,Ongoing,26,100,14989401,12443745,83.01695978378322,83.01695978378322,MWI
2013,410000.0,Completed,DEC + ALB,Not started,,,,,,,STP
2013,30000000.0,In progress,IVM + ALB,Ongoing,33,No data,1917036,1422298,74.19255559102697,4.740993333333334,ETH
2013,2938370.0,Completed,IVM + ALB,Ongoing,13,100,2438849,2445275,100.26348494720256,83.21875733825216,LBR
2013,17784306.0,Completed,DEC + ALB,Ongoing,62,63.3,11886858,7892186,66.394214518252,44.37725036894889,MDG
2013,6000000.0,In progress,DEC + ALB,Not started,,,,,,,ZWE
