Year,"Population requiring PC for STH, Pre-SAC",Number of Pre-SAC targeted,Reported number of Pre-SAC treated,"Drug combination, Pre-SAC","Programme coverage, Pre-SAC (%)","National coverage, Pre-SAC (%)","Population requiring PC for STH, SAC",Number of SAC targeted,Reported number of SAC treated,"Drug combination, SAC","Programme coverage, SAC (%)","National coverage, SAC (%)",CountryCode
2005,195356,195549.0,159822.0,Alb/Mbd, ,80.14783685791514,376608,128428.0,131225.0,Mbd, ,34.84392259325346,GNB
2005,2874230,3043840.0,3017790.0,Alb/Mbd, ,99.77191043442814,5495012,385278.0,6341.0,Pzq+Alb, ,0.1153955623754779,MOZ
2005,357551,472484.0,381673.0,Alb/Mbd, ,100.0,758613,65234.0,61505.66666666667,Ivm+Alb, ,5.293795002231627,MRT
2005,2196887,2676553.0,1923909.0,Alb/Mbd, ,81.39244351334155,4607571,3672936.0,80600.0,Ivm+Alb, ,1.7258320523507171,CMR
2005,687326,704355.0,694862.0,Alb/Mbd, ,97.74302405237252,1303287,1531834.0,412076.0,Mbd, ,31.618208422243143,SLE
2005,2509980,190200.0,122902.0,Alb/Mbd, ,4.829492986149916,5509251,1716739.0,1478115.0,"Ivm+Alb, Alb/Mbd", ,26.82969064215807,GHA
2005,8811925,10061869.0,8170761.0,Mbd - round 2,81.20520153860083,92.72390538957151,No PC required,3455081.0,79998.0,Ivm+Alb, ,0.46227113686531796,COD
2005,8811925,10178256.0,7661552.0,Mbd - round 1,75.27372076316414,86.94527018784204,16855786,3455081.0,154999.0,Ivm+Alb, ,0.8940122711755736,COD
2005,4158577,4722159.0,499152.75,Alb/Mbd, ,13.426283966285604,9988168,10484393.0,5038560.0,Ivm+Alb, ,100.0,ZAF
2005,2359639,3229541.0,3002474.0,Alb/Mbd, ,100.0,4947404,1011206.0,51557.0,Pzq+Mbd, ,1.0421020802020615,CIV
2005,219324,198512.0,161085.0,Alb/Mbd, ,73.99708761501394,527136,458705.0,106682.0,Alb, ,20.238041036848177,LSO
2005,2374930,2976529.0,1681516.0,Alb, ,70.80276050241481,4619337,1562296.0,1256067.0,Ivm+Alb, ,17.97,AGO
2005,1593616,2294407.0,2294407.0,Alb/Mbd, ,100.0,3224377,555348.0,2639225.0,"Ivm+Alb, Alb/Mbd, Pzq+Mbd, Pzq+Alb", ,81.85224618585234,MLI
2005,4404797,5375868.0,3915581.5,Alb/Mbd, ,87.5673022814511,8523354,4475952.0,4036204.0,"Ivm+Alb, Pzq+Alb", ,47.35464466218345,UGA
2005,1682495,1999050.0,1198122.0,Alb/Mbd, ,71.21102885892677,3262874,242876.0,859200.0,"Pzq+Alb, Alb", ,26.33261351802123,ZMB
2005,70435,79054.0,19195.0,Alb/Mbd, ,27.84276806935373,146891,196889.0,55453.0,Ivm+Alb, ,38.24251932032191,COM
2005,1183829,1105847.0,883283.0,Mbd, ,74.61238067322223,2309841,3325950.0,2454947.0,Ivm+Alb, ,99.94333029765028,RWA
2005,2324044,2931663.0,2875425.0,"Dec+Alb, Mbd", ,100.0,4863203,1158709.0,181147.0,"Dec+Alb, Mbd", ,3.724849651556803,MDG
2005,18290,24819.0,3459.0,Alb/Mbd, ,24.944363756466856,40340,33025.0,12749.0,Alb/Mbd, ,31.603867129400097,STP
2005,1445328,1645475.0,1336885.0,Alb/Mbd, ,84.29941288006573,2753849,743593.0,20666.666666666668,Ivm+Alb, ,0.760455569735202,TCD
2005,9917974,697601.0,669626.0,Alb/Mbd,95.9898279962328,6.751641010553164,20876467,3569694.0,4978902.0,Alb/Mbd, ,23.84935152102125,ETH
2005,2067069,2263696.0,2244182.0,Alb/Mbd, ,100.0,3750927,4396936.0,1233538.0,Pzq+Alb, ,32.88621719377636,NER
2005,125181,144474.0,126326.0,Alb/Mbd, ,100.0,312820,112900.0,221591.0,Alb, ,70.83658333866121,SWZ
2005,1046197,1963790.0,1712154.0,Alb/Mbd, ,100.0,2108761,226196.0,409452.0,Ivm+Alb, ,19.41670962238016,BEN
2005,5380497,5695206.0,5533367.0,Alb/Mbd,97.15832930362835,100.0,10496645,1837406.0,2054027.0,"Ivm+Alb, Pzq+Alb", ,19.568414479102607,TZA
2005,1951897,1615569.0,1684408.0,Alb/Mbd, ,84.84861917638193,3920069,3795722.0,259519.0,"Alb/Mbd, Pzq+Alb", ,6.620266122866715,MWI
