,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
50,Cuba,CUB,82.5615538922255,82.7544308951035,82.9457140298599,83.1276663792287,83.3008797642013,83.7877802873086,84.2753300409681,84.7635206491616,85.2523216728143,85.7416462920433,86.2315854351565,86.722105942958,87.2132172546292,87.7018476965811,88.1908288474041,88.6810722290966,89.1724470610026,89.6655910937344,90.1602608034911,90.6561903272549,91.1531962758751,91.6510277742231,92.149409654717
51,Curacao,CUW,98.0945513612261,98.1603762656102,98.2262011699943,98.2920260743783,98.3578509787624,98.4236758831465,98.4895007875306,98.5553256919147,98.6211505962987,98.6869755006828,98.7528004050669,98.818625309451,98.8844502138351,98.9502751182192,98.9502751182192,98.9502751182192,98.9502751182192,98.9502751182192,98.9502751182192,98.9502751182192,98.9502751182192,98.9502751182192,98.9502751182192
52,Cayman Islands,CYM,83.9378304447852,83.9378304447852,83.9378304447852,83.9378304447852,83.9378304447852,83.9378304447852,83.8037938650307,83.669757285276,83.5357207055214,83.518925,83.5017524539877,83.4842030674846,83.4662768404908,83.4479737730061,83.4292938650307,83.4102371165644,83.3908035276073,83.3709930981595,83.3508058282208,83.3302417177914,83.3093007668711,83.2879829754601,83.2662883435582
53,Cyprus,CYP,99.7397454246139,99.7394978100271,99.739648678612,99.7194199376839,99.6989975774277,99.6783743316369,99.6575518737631,99.6365328958002,99.6153154383816,99.5939008190619,99.5722799385489,99.5504539398208,99.5284351936915,99.5063262859759,99.4841577073006,99.4619935122178,99.4398581430545,99.4178089747222,99.3958584661877,99.3958159908827,99.3959602875958,99.396280370663,99.3967759456196
54,Czechia,CZE,99.1129481699863,99.1131321549657,99.1150281553211,99.1169245883962,99.1188235397962,99.1207184948973,99.1226147543375,99.1245127560232,99.1264113408985,99.1283124601447,99.1302073873726,99.1321073376404,99.1338671315178,99.1354987475892,99.1366300174793,99.1369522900558,99.1372643723858,99.1375540709522,99.1373534182053,99.1371345347108,99.136896508494,99.1366369600798,99.1363581954323
55,Germany,DEU,99.218111254305,99.2187292957731,99.2193428611343,99.2199574833481,99.2205648970116,99.2211750434826,99.2217747465554,99.2223735826062,99.2229659771362,99.2235618579048,99.2241473321448,99.2247315605617,99.2247623529587,99.2247917702079,99.2248247708943,99.2248518459625,99.2249269225143,99.2250364212723,99.2251929444336,99.2253840840528,99.2256171729146,99.2258922058797,99.2262037402876
56,Djibouti,DJI,47.0517885702948,47.0731455077118,47.0945090520722,47.1158673678357,47.1372280107641,48.4452790170061,49.7498541308704,51.0504745031168,52.3471301664621,53.6393075112832,54.9325895806101,56.2271822953844,57.5227688121713,58.8200628177634,60.1181814104924,61.4189057021902,62.7207944875462,64.0245443188833,65.3303073707524,66.638239753157,66.7226376355667,66.8116305230144,66.9052134536498
57,Dominica,DMA,64.0425728567548,65.298253781627,66.5539347064993,67.8096156313715,69.0652965562438,70.3209774811161,71.5766584059883,72.8323393308606,74.0880202557328,75.3437011806051,76.5993821054773,77.8550630303496,79.1107439552219,80.3664248800941,80.3664248800941,80.3664248800941,80.3664248800941,80.3664248800941,80.3664248800941,80.3664248800941,80.3664248800941,80.3664248800941,80.3664248800941
58,Denmark,DNK,99.5972400523787,99.597240178573,99.5972404342065,99.5972369771534,99.5972376063599,99.5972351294476,99.5972401907383,99.5972388625503,99.5972390180501,99.5972304219648,99.5972315674596,99.5972329617576,99.5972277498307,99.5972286921987,99.597229398165,99.5972333139117,99.5972270534455,99.5972298174189,99.5972331722186,99.5972319033954,99.5972251411852,99.5972277532465,99.5972292400995
59,Dominican Republic,DOM,76.9636611789654,77.4731184262681,77.9820353057035,78.5437918746167,79.1254708313504,79.7030292527123,80.2769680495933,80.8469439336186,81.4129705361053,81.9741070669218,82.5312234804459,83.0716701410363,83.6001473961909,84.125197712206,84.647073342206,85.1659174636995,85.6816410321982,86.1939043454462,86.7010103958204,87.2031083799599,87.7003894263525,88.1932241226555,88.6817918806029
60,Algeria,DZA,84.4808303267888,84.7599276450493,85.0328073593515,85.2991644625783,85.5590709673942,85.8122609306772,86.0591315025692,86.299440005349,86.5335680761237,86.7594853651133,86.9781332130706,87.1892375803685,87.0935397027506,86.9868765719694,86.8698424356598,86.7425206949109,86.6054829474466,86.4588237816513,86.303094189528,86.1385043463065,85.9654695730295,85.7843012451086,85.8262893978246
61,East Asia & Pacific (excluding high income),EAP,56.1980650294546,57.1207070441827,59.2360347145802,61.1089062306787,62.9635560727875,64.801122620031,66.6061544356667,68.4211127562172,70.2160316430758,71.9894163498368,73.7411519439924,75.4613913150018,77.1595035603483,78.8379542435265,80.4976454796478,82.1378346441677,83.7594478552705,85.3616707246873,86.9411059524366,88.4935459227407,90.010032726138,91.5056019670454,92.8761814827032
62,Early-demographic dividend,EAR,37.211156170651,38.8856270189205,40.6629520696581,42.4579409877533,44.271550590929,46.1004448802087,47.9456597560628,49.8120292842454,51.6853259522914,53.5597864322325,55.4262151753019,57.3105830695059,59.1908832309379,61.0791792791527,62.9660233285936,64.8660270658314,66.7617765425005,68.2379008243322,70.0513470039072,71.8609927416082,73.653286584957,75.3953524571406,77.0325041427212
63,East Asia & Pacific,EAS,60.7479728819456,61.557962949374,63.3862979387109,65.0505930343855,66.6990122340513,68.3331982090094,69.9445808069828,71.5690548660824,73.1779922077363,74.765062412026,76.333096182733,77.8715770032713,79.3901678084936,80.8923366469524,82.3808723555158,83.853901258038,85.3118748528499,86.7525298688292,88.1753466998019,89.5755396594207,90.9430631986434,92.2906551681166,93.5295619863087
64,Europe & Central Asia (excluding high income),ECA,89.9574359044805,90.1320262198187,90.5160928039685,90.9004220916762,91.3196709324087,91.7802073612456,92.2366442580046,92.7009207521147,93.1521473742348,93.60409676199,94.0581887866889,94.5095813635926,94.9595779320596,95.4073149012844,95.8245524324579,96.2249028323548,96.549022310912,96.8645309864558,97.1702313434366,97.4662210306522,97.7655853224295,97.8143474663874,97.845663263229
